%
% 1. Title: toyml
%
% 2. Sources:
%       (a) Creator: Adriano Rivolli
%       (b) Tool: http://sites.labic.icmc.usp.br/mldatagen/
%       (c) Data: 25-11-2015 - 21:19:9
%       (d) Strategy: Hyperspheres
%       (e) Relevant Features: 7
%       (f) Irrelevant Features: 2
%       (g) Redundant Features: 1
%       (h) Number of Labels (q): 5
%       (i) Number of Instances: 100
%       (j) Noise (from 0 to 1): 0.05
%       (k) Maximum Radius/Half-Edge of the Hyperspheres/Hypercubes: 0.8
%       (l) Minimum Radius/Half-Edge of the Hyperspheres/Hypercubes: ((q/10)+1)/q
%       (m) Dataset Name: toyml
%
@relation toyml

@attribute att1 numeric
@attribute att2	numeric
@attribute att3	numeric
@attribute att4	numeric
@attribute att5	numeric
@attribute att6	numeric
@attribute att7	numeric
@attribute iatt8 numeric
@attribute iatt9	 numeric
@attribute ratt10 numeric
@attribute y1 {0,1}
@attribute y2 {0,1}
@attribute y3 {0,1}
@attribute y4 {0,1}
@attribute y5 {0,1}

@DATA
-0.150258,0.000461,0.237302,0.004333,0.086273,0.611953,-0.040632,-0.215861,0.447483,0.611953,1,1,0,1,0
0.219093,0.023877,0.038309,-0.041287,0.013978,0.277978,0.147673,-0.592199,-0.164926,0.277978,1,1,0,1,0
0.137491,0.042125,0.011613,0.066545,0.388947,-0.312591,-0.163133,-0.426994,-0.564884,-0.312591,1,1,0,1,0
-0.318716,-0.054081,0.005198,0.085436,0.660657,0.011783,0.096005,-0.526278,0.505936,0.011783,1,1,0,0,1
0.004815,0.659007,0.023343,-0.135839,0.06347,-0.207688,0.091519,0.170262,0.389038,-0.207688,1,1,0,0,0
0.33628,-0.140629,-0.032099,-0.36593,0.004982,0.124665,-0.13395,0.652938,0.961077,0.124665,1,1,0,0,0
0.106984,0.100472,0.260137,0.371807,0.056728,-0.023934,-0.275136,-0.35538,0.902398,-0.023934,1,1,0,1,0
-0.342965,0.185992,0.487678,-0.21709,-0.175698,0.01393,0.128295,-0.324321,0.613485,0.01393,1,1,0,0,0
-0.144796,0.045918,0.305025,0.020315,0.071192,0.332994,0.311251,0.087984,0.713669,0.332994,1,1,0,1,0
0.037647,0.540668,0.066619,0.015083,0.046014,0.029148,0.093103,-0.112542,-0.352326,0.029148,1,1,0,1,0
-0.274297,-0.043599,0.303361,-0.407191,0.047307,0.063818,0.070869,-0.777542,0.788575,0.063818,1,1,0,1,0
0.08638,-0.331417,0.127079,0.053148,0.647363,0.003478,-0.0146,-0.04587,0.374674,0.003478,1,1,0,1,0
-0.258955,0.156876,0.08537,0.187584,0.146034,0.046292,0.002898,0.822605,0.998573,0.046292,1,0,0,1,0
-0.346385,0.315617,0.348584,-0.421958,0.27615,0.327565,-0.00456,0.398082,0.556171,0.327565,0,1,0,0,0
0.052428,-0.007175,0.666074,-0.087226,0.038798,-0.521062,-0.006919,0.918817,0.469692,-0.521062,0,1,0,0,0
0.112841,0.364614,0.106532,-0.540175,-0.053638,-0.158338,0.180066,0.619912,0.56162,-0.158338,0,1,0,1,0
0.269524,0.01266,0.509433,-0.071821,0.199332,0.114515,-0.179925,0.890247,0.64621,0.114515,0,1,0,1,1
0.11965,0.115314,-0.128816,-0.689581,0.032787,0.026512,-0.625249,0.983795,-0.775867,0.026512,0,1,0,0,0
0.280326,0.4674,-0.043772,-0.179778,-0.253061,-0.198116,-0.216699,0.760872,-0.353118,-0.198116,1,1,0,1,0
-0.027038,-0.131272,0.040304,-0.905066,-0.000345,0.05142,-0.299044,-0.468975,-0.174652,0.05142,0,1,0,0,0
0.204487,-0.107086,0.068906,-0.255376,0.185411,0.54026,-0.137891,0.279766,-0.412892,0.54026,0,0,0,1,0
-0.005714,0.031082,0.601475,0.003176,0.024739,-0.055597,0.092901,0.935102,-0.23349,-0.055597,1,1,0,1,0
0.299133,0.016737,0.324538,0.206233,0.367986,-0.183355,-0.300221,-0.303194,0.198648,-0.183355,0,0,0,1,0
-0.239157,-0.178891,0.271052,-0.039926,-0.40165,-0.115969,-0.579224,0.423017,-0.827634,-0.115969,0,1,0,0,0
-0.035957,0.025134,-0.011782,-0.230133,0.741944,-0.004882,0.018327,0.537564,0.299198,-0.004882,0,1,0,0,0
-0.729316,0.365198,0.154473,0.119769,0.276791,0.063129,0.100227,-0.438756,0.9265,0.063129,0,1,0,0,0
-0.510163,0.402372,-0.014294,-0.027011,-0.032652,-0.330331,0.034349,-0.863753,-0.552673,-0.330331,0,1,0,0,0
-0.10893,-0.618039,0.211553,-0.492897,-0.045607,0.300942,0.020294,0.041252,-0.548861,0.300942,0,1,0,0,0
-0.215997,0.118202,-0.356019,0.478523,-0.25676,0.230247,-0.406365,0.203107,-0.536007,0.230247,0,1,0,0,0
-0.043822,-0.011313,0.484527,0.195574,0.231724,-0.131228,-0.261303,-0.101787,-0.078554,-0.131228,0,1,0,1,0
0.085416,-0.606009,0.131551,-0.321581,0.106341,-0.044413,-0.330441,0.282826,-0.589943,-0.044413,0,1,0,1,0
-0.083125,0.336427,-0.199537,-0.328599,-0.128198,-0.757385,-0.003838,-0.042136,-0.456252,-0.757385,0,1,1,0,0
-0.123508,-0.059043,0.078417,-0.800079,-0.053555,0.166983,0.060607,-0.397034,0.079912,0.166983,0,1,0,1,0
-0.06063,0.04646,-0.316347,0.221668,-0.000164,-0.160015,0.607166,0.730358,0.029103,-0.160015,0,1,0,0,0
0.434167,-0.336899,0.110998,-0.38935,-0.139851,0.422455,0.255526,-0.483353,-0.895452,0.422455,0,1,0,0,0
-0.219777,0.290061,0.519612,0.085878,0.172138,-0.161543,0.003477,-0.543778,-0.541919,-0.161543,0,1,0,0,0
-0.257852,-0.001733,0.543616,-0.556126,0.020885,0.32216,-0.001026,-0.488815,-0.646921,0.32216,0,1,0,1,0
0.051335,0.002713,0.185493,0.529519,0.000508,-0.199308,0.162754,-0.441594,0.359561,-0.199308,1,1,0,1,0
0.060741,-0.456184,-0.088186,0.043758,-0.041495,0.6714,0.125782,0.584514,-0.520027,0.6714,0,1,0,0,0
-0.106653,0.235743,-0.724598,0.06955,-0.239057,0.290814,-0.333042,0.365707,-0.984173,0.290814,0,1,0,0,0
-0.194875,-0.221543,0.06392,0.230955,0.042556,0.115516,0.073969,0.683799,0.185893,0.115516,0,1,0,1,0
